SubNo,date,source,n_files,n_trials,n_faces,faces_observed,square_side_median,square_side_mean,square_side_sd,square_side_min,square_side_max,square_side_px,square_side_rmse_px,square_side_max_abs_error_px
2,2026-03-27,EPtask-2-2026-03-27-1.mat,1,9,6,1 2 3 4 5 6,373.4437985116896,373.12650003663776,0.7793095439367146,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-2.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-3.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27-4.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-27,EPtask-2-2026-03-27.mat,1,1,1,5,372.60719328982344,372.60719328982344,1.8668532279340708,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-28,EPtask-2-2026-03-28.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-1.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29-3.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566068,372.51655629139077,376.2376237623762,374,0.0,0.0
2,2026-03-29,EPtask-2-2026-03-29.mat,1,1,1,4,374.0056653239657,374.0056653239657,0.3836756163546305,373.7343656938654,374.276964954066,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27-1.mat,1,4,4,3 4 5 6,373.8308117803205,374.10099863977405,0.9131019753181787,373.4168951560256,376.2376237623762,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27-2.mat,1,8,6,1 2 3 4 5 6,373.792830298896,373.95584013046505,0.9968249139532317,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-27,EPtask-6-2026-03-27.mat,1,1,1,4,374.0056653239657,374.0056653239657,0.3836756163546305,373.7343656938654,374.276964954066,374,0.0,0.0
6,2026-03-28,EPtask-6-2026-03-28.mat,1,11,6,1 2 3 4 5 6,373.6803696601195,373.85055698199284,0.8884476736029804,372.51655629139077,376.2376237623762,374,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29-1.mat,1,10,6,1 2 3 4 5 6,217.86492374727666,218.03111623343315,0.7066513112166125,216.64050235478805,219.37086092715234,218,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,217.84335296274725,217.9358085710371,0.7288216278156631,216.64050235478805,219.37086092715234,218,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29-3.mat,1,6,6,1 2 3 4 5 6,217.84335296274725,217.9358085710371,0.7288216278156631,216.64050235478805,219.37086092715234,218,0.0,0.0
6,2026-03-29,EPtask-6-2026-03-29.mat,1,6,6,1 2 3 4 5 6,217.84335296274725,217.93580857103703,0.7288216278156631,216.64050235478805,219.37086092715234,218,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27-1.mat,1,1,1,4,373.43857901342926,373.43857901342926,0.41830553504216234,373.14279233299305,373.7343656938654,373,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27-2.mat,1,3,3,1 3 6,373.4498107899642,373.3044804399087,0.4910855811026774,372.51655629139077,373.8512949039265,373,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27-3.mat,1,8,6,1 2 3 4 5 6,373.4437985116896,373.11954928583816,0.8226366167024363,371.28712871287127,373.9272578667756,373,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27-4.mat,1,15,6,1 2 3 4 5 6,373.4437985116896,373.20753501826556,0.6736487294509722,371.28712871287127,373.9272578667756,373,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27-5.mat,1,11,6,1 2 3 4 5 6,373.4437985116896,373.16009135825715,0.742158948006772,371.28712871287127,373.9272578667756,373,0.0,0.0
8,2026-03-27,EPtask-8-2026-03-27.mat,1,2,2,5 6,373.5216343911996,373.0644138405115,1.2032295593254527,371.28712871287127,373.9272578667756,373,0.0,0.0
8,2026-03-28,EPtask-8-2026-03-28-1.mat,1,7,6,1 2 3 4 5 6,373.792830298896,373.97892385919516,1.0616068946017456,372.51655629139077,376.2376237623762,374,0.0,0.0
8,2026-03-28,EPtask-8-2026-03-28.mat,1,3,3,4 5 6,373.8308117803205,374.2032468432471,1.0383905759076613,373.4168951560256,376.2376237623762,374,0.0,0.0
8,2026-03-29,EPtask-8-2026-03-29-1.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.911582460156607,372.51655629139077,376.2376237623762,374,0.0,0.0
8,2026-03-29,EPtask-8-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,373.6803696601195,373.79500436663164,0.9115824601566069,372.51655629139077,376.2376237623762,374,0.0,0.0
8,2026-03-29,EPtask-8-2026-03-29.mat,1,10,6,1 2 3 4 5 6,373.7343656938654,373.9174020758886,0.9010675217577734,372.51655629139077,376.2376237623762,374,0.0,0.0
9,2025-11-23,EPtask-9-2025-11-23-1.mat,1,7,6,1 2 3 4 5 6,400.50276420316766,400.4272696074762,0.7490253125388902,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-23,EPtask-9-2025-11-23-2.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.813375289869266,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-23,EPtask-9-2025-11-23.mat,1,5,5,1 2 4 5 6,400.52558267788106,400.52388726655664,0.8610734346084779,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-24,EPtask-9-2025-11-24-1.mat,1,2,2,3 6,399.718072557799,399.5295027560887,0.5553951811847783,398.7441130298273,399.9377528789293,400,0.0,0.0
9,2025-11-24,EPtask-9-2025-11-24-2.mat,1,1,1,1,401.2462862454149,401.2462862454149,0.3447569535984961,401.0025062656642,401.4900662251656,400,0.0,0.0
9,2025-11-24,EPtask-9-2025-11-24-3.mat,1,17,6,1 2 3 4 5 6,400.5151320025757,400.4530730732659,0.8033794903204505,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-24,EPtask-9-2025-11-24-4.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-24,EPtask-9-2025-11-24.mat,1,5,5,2 3 4 5 6,400.4266658212515,400.25902334219074,0.7841510313715994,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-25,EPtask-9-2025-11-25-1.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-25,EPtask-9-2025-11-25-2.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
9,2025-11-25,EPtask-9-2025-11-25.mat,1,16,6,1 2 3 4 5 6,400.4903964037597,400.3332214642319,0.7778816634111354,398.7441130298273,401.5776263893868,400,0.0,0.0
10,2026-03-27,EPtask-10-2026-03-27-1.mat,1,36,6,1 2 3 4 5 6,373.4437985116896,373.1902199443356,0.7069587643482063,371.28712871287127,373.9272578667756,373,0.0,0.0
10,2026-03-27,EPtask-10-2026-03-27.mat,1,3,3,2 4 5,373.3067471001733,373.0759594487625,0.9541173004159835,371.28712871287127,373.9272578667756,373,0.0,0.0
10,2026-03-28,EPtask-10-2026-03-28.mat,1,7,6,1 2 3 4 5 6,373.792830298896,373.97892385919516,1.0616068946017456,372.51655629139077,376.2376237623762,374,0.0,0.0
10,2026-03-29,EPtask-10-2026-03-29-1.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
10,2026-03-29,EPtask-10-2026-03-29-2.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324317,371.28712871287127,373.9272578667756,373,0.0,0.0
10,2026-03-29,EPtask-10-2026-03-29.mat,1,9,6,1 2 3 4 5 6,373.4437985116896,373.2566016001678,0.6196076371905875,371.28712871287127,373.9272578667756,373,0.0,0.0
11,2025-11-23,EPtask-11-2025-11-23-1.mat,1,10,6,1 2 3 4 5 6,400.4903964037597,400.33870353713576,0.8246783634424978,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-23,EPtask-11-2025-11-23-2.mat,1,2,2,1 2,401.2462862454149,401.14633272069807,0.4910082641770083,400.5151320025757,401.5776263893868,400,0.0,0.0
11,2025-11-23,EPtask-11-2025-11-23-3.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-23,EPtask-11-2025-11-23.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-24,EPtask-11-2025-11-24.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-25,EPtask-11-2025-11-25-1.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-25,EPtask-11-2025-11-25-2.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-25,EPtask-11-2025-11-25-3.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.813375289869266,398.7441130298273,401.5776263893868,400,0.0,0.0
11,2025-11-25,EPtask-11-2025-11-25.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
12,2026-04-10,EPtask-12-2026-04-10-1.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.19021994433564,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
12,2026-04-10,EPtask-12-2026-04-10-2.mat,1,14,6,1 2 3 4 5 6,373.4437985116896,373.14799561892045,0.7724455309092559,371.28712871287127,373.9272578667756,373,0.0,0.0
12,2026-04-10,EPtask-12-2026-04-10-3.mat,1,10,6,1 2 3 4 5 6,373.4437985116896,373.2491520444545,0.5939650870118172,371.28712871287127,373.9272578667756,373,0.0,0.0
12,2026-04-10,EPtask-12-2026-04-10.mat,1,6,6,1 2 3 4 5 6,373.4437985116896,373.1902199443357,0.7332486794324318,371.28712871287127,373.9272578667756,373,0.0,0.0
12,2026-04-11,EPtask-12-2026-04-11-1.mat,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-11,EPtask-12-2026-04-11.mat,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-12,EPtask-12-2026-04-12-1.mat,1,4,4,3 4 5 6,312.9117133980733,312.93375545439113,0.6076722026095357,311.88118811881185,313.9717425431711,313,0.0,0.0
12,2026-04-12,EPtask-12-2026-04-12-2.mat,1,11,6,1 2 3 4 5 6,312.94269156471347,312.9344427979845,0.6881238625626946,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-12,EPtask-12-2026-04-12-3.mat,1,6,6,1 2 3 4 5 6,312.9871674904207,313.01710358331457,0.7560358478116554,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-12,EPtask-12-2026-04-12-4.mat,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
12,2026-04-12,EPtask-12-2026-04-12.mat,1,6,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7560358478116552,311.88118811881185,314.5695364238411,313,0.0,0.0
13,2025-12-04,EPtask-13-2025-12-04-1.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-04,EPtask-13-2025-12-04-2.mat,1,13,6,1 2 3 4 5 6,400.4903964037597,400.38498250279406,0.7751062483466825,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-04,EPtask-13-2025-12-04.mat,1,2,2,3 6,399.718072557799,399.5295027560887,0.5553951811847783,398.7441130298273,399.9377528789293,400,0.0,0.0
13,2025-12-05,EPtask-13-2025-12-05-1.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-05,EPtask-13-2025-12-05.mat,1,3,3,2 3 5,400.50276420316766,400.5695311754657,0.6389887252862864,399.9061803682421,401.5776263893868,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-1.mat,1,2,2,5 6,400.01018057555785,399.938643297711,1.000651674850252,398.7441130298273,400.990099009901,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-2.mat,1,1,1,4,400.4494842959649,400.4494842959649,0.12239885053333605,400.3629352387433,400.53603335318644,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-3.mat,1,4,4,1 3 4 6,400.1503440588363,400.1886940133893,0.8594340757378812,398.7441130298273,401.4900662251656,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-4.mat,1,5,5,1 2 4 5 6,400.52558267788106,400.52388726655664,0.8610734346084779,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-5.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939474,0.8133752898692662,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-6.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06-7.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.813375289869266,398.7441130298273,401.5776263893868,400,0.0,0.0
13,2025-12-06,EPtask-13-2025-12-06.mat,1,4,4,2 3 4 6,400.1503440588363,400.13871725103087,0.8306831947182475,398.7441130298273,401.5776263893868,400,0.0,0.0
14,2026-04-10,EPtask-14-2026-04-10-1.mat,1,5,5,1 2 3 4 6,373.55455002513827,373.53751707704276,0.5264061438503828,372.51655629139077,374.276964954066,374,0.0,0.0
14,2026-04-10,EPtask-14-2026-04-10-2.mat,1,2,2,2 5,373.69897986706457,374.1322734288054,1.465917531711,372.89351021871636,376.2376237623762,374,0.0,0.0
14,2026-04-10,EPtask-14-2026-04-10-3.mat,1,19,6,1 2 3 4 5 6,373.6803696601195,373.794964875196,0.8639401436914043,372.51655629139077,376.2376237623762,374,0.0,0.0
14,2026-04-10,EPtask-14-2026-04-10-4.mat,1,40,6,1 2 3 4 5 6,373.6803696601195,373.7696527048188,0.8552071245544873,372.51655629139077,376.2376237623762,374,0.0,0.0
14,2026-04-10,EPtask-14-2026-04-10.mat,1,13,6,1 2 3 4 5 6,373.7343656938654,373.8112090556573,0.8604824800657314,372.51655629139077,376.2376237623762,374,0.0,0.0
14,2026-04-11,EPtask-14-2026-04-11-1.mat,1,14,6,1 2 3 4 5 6,312.94269156471347,312.95836378169054,0.7196268398657159,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-11,EPtask-14-2026-04-11.mat,1,10,6,1 2 3 4 5 6,312.94269156471347,312.94199877237264,0.7208018475299287,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-12,EPtask-14-2026-04-12-1.mat,1,25,6,1 2 3 4 5 6,313.0316434161279,313.0534743288598,0.7500297501416048,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-12,EPtask-14-2026-04-12-2.mat,1,18,6,1 2 3 4 5 6,312.9871674904207,313.0171035833146,0.7341170927392503,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-12,EPtask-14-2026-04-12-3.mat,1,12,6,1 2 3 4 5 6,312.9871674904207,313.01710358331457,0.7394176459972415,311.88118811881185,314.5695364238411,313,0.0,0.0
14,2026-04-12,EPtask-14-2026-04-12.mat,1,20,6,1 2 3 4 5 6,313.0316434161279,313.0595819453844,0.7395970358511718,311.88118811881185,314.5695364238411,313,0.0,0.0
15,2025-12-04,EPtask-15-2025-12-04-1.mat,1,3,3,2 3 4,400.43903362065953,400.4726100385106,0.6075911592832912,399.9061803682421,401.5776263893868,400,0.0,0.0
15,2025-12-04,EPtask-15-2025-12-04-2.mat,1,6,6,1 2 3 4 5 6,400.50276420316766,400.42356715939485,0.8133752898692661,398.7441130298273,401.5776263893868,400,0.0,0.0
15,2025-12-04,EPtask-15-2025-12-04.mat,1,5,5,2 3 4 5 6,400.4266658212515,400.25902334219074,0.7841510313715994,398.7441130298273,401.5776263893868,400,0.0,0.0
15,2025-12-05,EPtask-15-2025-12-05-1.mat,1,1,1,1,401.2462862454149,401.2462862454149,0.3447569535984961,401.0025062656642,401.4900662251656,400,0.0,0.0
15,2025-12-05,EPtask-15-2025-12-05-2.mat,1,1,1,5,400.74024770683036,400.74024770683036,0.35334310137909236,400.4903964037597,400.990099009901,400,0.0,0.0
