SubNo,date,day_index,n_learning_sessions,learning_time_s,return_to_learn_count,n_coordinate_points,square_side_px,square_side_rmse_px,square_side_max_abs_error_px,n_loaded_coordinate_points,n_out_of_bounds_points
2,2026-03-27,1,1,1301.9065059000009,5,11750,373,0.0,0.0,11750,0
2,2026-03-28,2,1,189.16191249999974,0,1352,373,0.0,0.0,1352,0
2,2026-03-29,3,2,150.54962740000008,1,1298,374,0.0,0.0,1298,0
6,2026-03-27,1,1,3061.6459196000014,2,26419,374,0.0,0.0,26419,0
6,2026-03-28,2,1,207.37463839999998,0,2089,374,0.0,0.0,2089,0
6,2026-03-29,3,2,137.8613805,1,894,218,0.0,0.0,894,0
8,2026-03-27,1,1,706.8187456000051,6,5173,373,0.0,0.0,5173,0
8,2026-03-28,2,1,224.61765460000015,1,2095,374,0.0,0.0,2095,0
8,2026-03-29,3,1,61.24865339999997,0,368,374,0.0,0.0,368,0
9,2025-11-23,1,1,2951.007691499999,4,15004,400,0.0,0.0,15004,0
9,2025-11-24,2,1,568.348047800002,4,3928,400,0.0,0.0,3928,0
9,2025-11-25,3,1,36.35163869999997,0,284,400,0.0,0.0,284,0
10,2026-03-27,1,1,663.6425390000004,2,7300,373,0.0,0.0,7300,0
10,2026-03-28,2,1,126.19278759999997,0,1295,374,0.0,0.0,1295,0
10,2026-03-29,3,2,153.75066070000003,0,1262,373,0.0,0.0,1262,0
11,2025-11-23,1,1,1768.7682616000004,3,6958,400,0.0,0.0,6958,0
11,2025-11-24,2,1,291.7055813000002,0,1333,400,0.0,0.0,1333,0
11,2025-11-25,3,1,79.54162009999982,1,497,400,0.0,0.0,497,0
12,2026-04-10,1,1,1069.3327290000002,3,10201,373,0.0,0.0,10201,0
12,2026-04-11,2,1,174.04482590000043,1,1757,313,0.0,0.0,1757,0
12,2026-04-12,3,2,32.716419500000086,2,588,313,0.0,0.0,588,0
13,2025-12-04,1,1,396.7914513999999,3,2979,400,0.0,0.0,2979,0
13,2025-12-05,2,1,259.27446549999877,3,1551,400,0.0,0.0,1551,0
13,2025-12-06,3,3,462.30222760000004,5,3128,400,0.0,0.0,3128,0
14,2026-04-10,1,1,1842.2739242999992,6,9240,374,0.0,0.0,9240,0
14,2026-04-11,2,1,318.7504082999985,1,1244,313,0.0,0.0,1244,0
14,2026-04-12,3,2,218.82788369999798,1,988,313,0.0,0.0,988,0
15,2025-12-04,1,1,560.8145909,2,2514,400,0.0,0.0,2514,0
15,2025-12-05,2,1,1328.2408553999994,4,4505,400,0.0,0.0,4505,0
15,2025-12-06,3,3,753.4588891000002,6,2233,400,0.0,0.0,2233,0
16,2026-04-10,1,1,923.2185215999998,2,9236,313,0.0,0.0,9236,0
16,2026-04-11,2,1,150.7770942000002,0,1860,313,0.0,0.0,1860,0
16,2026-04-12,3,1,82.09621850000008,1,839,313,0.0,0.0,839,0
17,2025-12-04,1,2,1599.048894999998,0,6244,400,0.0,0.0,6244,0
17,2025-12-05,2,1,874.567193699997,0,2852,400,0.0,0.0,2852,0
17,2025-12-06,3,1,1487.931893,0,3737,400,0.0,0.0,3737,0
18,2026-04-10,1,1,954.9505577,6,6746,313,0.0,0.0,6746,0
18,2026-04-11,2,1,162.3997958,0,1256,313,0.0,0.0,1256,0
18,2026-04-12,3,2,44.517249900000024,4,633,313,0.0,0.0,633,0
20,2026-04-10,1,1,340.14741479999975,5,2719,313,0.0,0.0,2719,0
20,2026-04-11,2,1,310.8406119000001,3,2111,313,0.0,0.0,2111,0
20,2026-04-12,3,1,104.8207966,1,1053,313,0.0,0.0,1053,0
21,2025-12-07,1,1,1131.7109077999994,2,5241,400,0.0,0.0,5241,0
21,2025-12-08,2,1,248.9369783000002,0,1146,400,0.0,0.0,1146,0
21,2025-12-09,3,2,239.71187650000093,1,1223,400,0.0,0.0,1223,0
23,2025-12-07,1,1,2447.5628388999994,1,2779,400,0.0,0.0,2779,0
23,2025-12-08,2,1,1962.039202699998,0,881,400,0.0,0.0,881,0
29,2026-03-14,1,1,1698.2307733,0,22064,373,0.0,0.0,22064,0
29,2026-03-15,2,1,295.86313339999833,1,3799,373,0.0,0.0,3799,0
29,2026-03-16,3,2,300.5229825000001,0,2524,373,0.0,0.0,2524,0
31,2026-03-14,1,1,982.4408619999995,3,4527,374,0.0,0.0,4527,0
31,2026-03-15,2,1,208.8138606,2,1732,374,0.0,0.0,1732,0
31,2026-03-16,3,2,91.79248229999995,0,530,374,0.0,0.0,530,0
35,2025-07-18,1,1,167.91457180000043,3,2136,373,0.0,0.0,2136,0
35,2026-03-20,2,1,774.0458179999996,8,5476,374,0.0,0.0,5476,0
35,2026-03-21,3,1,194.5974094000003,0,1436,373,0.0,0.0,1436,0
37,2026-03-20,1,1,2092.549180400001,66,9402,374,0.0,0.0,9402,0
37,2026-03-21,2,1,268.720812,4,1802,373,0.0,0.0,1802,0
37,2026-03-22,3,2,182.74725650000005,7,1041,373,0.0,0.0,1041,0
39,2026-03-20,1,1,1448.1795886999998,6,9451,373,0.0,0.0,9451,0
39,2026-03-21,2,1,155.40004380000028,1,1476,374,0.0,0.0,1476,0
39,2026-03-22,3,3,176.00378509999985,4,1667,374,0.0,0.0,1667,0
41,2026-03-20,1,1,963.1629665000005,3,11476,374,0.0,0.0,11476,0
41,2026-03-21,2,1,154.92507080000019,2,2054,374,0.0,0.0,2054,0
41,2026-03-22,3,2,5.570359100000587,0,122,374,0.0,0.0,122,0
43,2026-03-24,1,1,1339.796952599998,0,9640,374,0.0,0.0,9640,0
43,2026-03-25,2,1,393.4131850999984,0,2805,373,0.0,0.0,2805,0
43,2026-03-26,3,3,201.1330071,1,1829,374,0.0,0.0,1829,0
45,2026-03-24,1,1,1846.1172280999963,12,17628,374,0.0,0.0,17628,0
45,2026-03-25,2,1,294.50426510000034,2,2459,374,0.0,0.0,2459,0
45,2026-03-26,3,1,291.8155809000002,6,2056,374,0.0,0.0,2056,0
47,2026-03-24,1,1,1137.5306120000005,3,8887,373,0.0,0.0,8887,0
47,2026-03-25,2,1,80.25583559999995,1,971,373,0.0,0.0,971,0
47,2026-03-26,3,2,152.14908280000003,8,2631,373,0.0,0.0,2631,0
49,2025-07-18,1,1,129.03940829999988,3,1335,373,0.0,0.0,1335,0
49,2026-03-24,2,1,1076.3615981000003,3,7051,374,0.0,0.0,7051,0
49,2026-03-25,3,1,190.17492999999922,3,920,374,0.0,0.0,920,0
