SubNo,source_date,prev_trial_index,trial_index,raw_village_pair,pair_condition,estimate_type,prev_pair_label,current_pair_label,center_x_0to10,center_y_0to10,prev_mid_x_0to10,prev_mid_y_0to10,current_mid_x_0to10,current_mid_y_0to10,derived_center_x_0to10,derived_center_y_0to10,true_center_x,true_center_y,distance_to_true,distance_to_derived
2,2026-03-29,1,2,AB,far,cross_edges,2-3,1-4,5.136233073877433,7.227947594635541,4.618485780767114,8.299182813857575,6.058150697665527,5.62366258431389,5.338318239216321,6.961422699085732,5.112,6.949,0.2799982186059465,0.3344756104679117
2,2026-03-29,31,32,AB,far,cross_edges,2-3,1-4,5.280251782161897,7.255278286353758,4.8124447639212375,8.209393843345211,5.795398994254954,5.559220723395491,5.3039218790880955,6.884307283370351,5.112,6.949,0.3494496399947339,0.37172538054726745
2,2026-03-29,37,38,AB,far,same_edges,1-2,3-4,4.646151566468739,6.803302383545303,2.356624797192365,6.4414405800720855,7.240067519498591,7.296836883355477,4.798346158345478,6.869138731713781,5.112,6.949,0.4881009715869348,0.1658240589802579
2,2026-03-29,51,52,AB,far,same_edges,3-4,1-2,4.999029130009201,7.241513598916738,7.26188226129493,7.310948919485034,2.6124620574168036,6.523618125295469,4.937172159355867,6.917283522390251,5.112,6.949,0.31357076237701165,0.33007791101916945
2,2026-03-29,22,23,AC,near,cross_edges,2-6,1-5,4.410793835891554,4.246861192499624,4.8272900353501935,4.919231216633957,3.229422216964781,3.303204256976869,4.028356126157487,4.111217736805413,4.4395,4.4395,0.194765895405196,0.40578041956125266
2,2026-03-29,57,58,AC,near,cross_edges,2-6,1-5,4.518716577540107,4.577161574075419,4.744532999826631,5.247297136343031,3.253035212219411,3.205991107829416,3.998784106023021,4.226644122086223,4.4395,4.4395,0.15882687157433342,0.6270504438136241
2,2026-03-29,44,45,AC,near,same_edges,5-6,1-2,4.973262032085561,5.131632311607826,6.325672046557873,2.261024221891686,2.3650925831100995,6.354009114418476,4.345382314833986,4.307516668155081,4.4395,4.4395,0.8740417859963568,1.036049966516794
2,2026-03-29,47,48,AC,near,same_edges,1-2,5-6,5.238755163408927,5.367952273970582,2.6995245538874513,6.854284428870276,6.458781272742749,2.312263998247494,4.5791529133151005,4.5832742135588855,4.4395,4.4395,1.225084666983052,1.025082819493284
2,2026-03-29,9,10,BC,unknown,cross_edges,4-6,3-5,7.062162879171865,4.441842023556894,8.181818181818182,4.813587332102888,5.424882980820187,5.2219358321759755,6.803350581319185,5.017761582139432,6.949,5.111999999999999,0.6796451652243134,0.6314009371846784
2,2026-03-29,16,17,BC,unknown,cross_edges,3-5,4-6,6.940520361396938,5.148383200458628,5.61540845597151,4.975773073877531,8.101017982782706,3.9570520532084332,6.858213219377108,4.466412563542982,6.949,5.111999999999999,0.037358286181934486,0.6869195114732182
2,2026-03-29,11,12,BC,unknown,same_edges,5-6,3-4,6.898395721925134,5.172561285102989,6.317229668608992,2.4155128959232823,7.378114790083114,7.430516085274751,6.847672229346053,4.923014490599017,6.949,5.111999999999999,0.07892060702252619,0.2546497110672383
2,2026-03-29,27,28,BC,unknown,same_edges,5-6,3-4,6.81044593900146,4.938788184990772,6.47809863970347,2.6930082915621107,7.311902934653325,7.330300831263921,6.895000787178398,5.011654561413016,6.949,5.111999999999999,0.22180973981765964,0.11162003029534204
6,2026-03-29,28,29,AB,far,cross_edges,2-3,1-4,4.81651376146789,6.559633027522935,3.669724770642202,7.935779816513762,5.871559633027523,5.458715596330275,4.770642201834862,6.697247706422019,5.112,6.949,0.4887931632273619,0.1450586082646058
6,2026-03-29,32,33,AB,far,cross_edges,1-4,2-3,4.770642201834862,6.192660550458715,5.18348623853211,5.412844036697248,4.4495412844036695,8.119266055045872,4.81651376146789,6.76605504587156,5.112,6.949,0.8298038980991621,0.575226431375434
6,2026-03-29,21,22,AB,far,same_edges,1-2,3-4,5.18348623853211,7.247706422018348,2.8440366972477067,6.467889908256881,7.568807339449542,7.568807339449542,5.206422018348624,7.018348623853211,5.112,6.949,0.3071413499587337,0.23050173442937752
6,2026-03-29,57,58,AB,far,same_edges,3-4,1-2,5.275229357798165,7.522935779816514,7.568807339449542,7.477064220183486,2.8899082568807337,6.467889908256881,5.229357798165138,6.972477064220183,5.112,6.949,0.5966959884235786,0.5523667237978119
6,2026-03-29,1,2,AC,near,cross_edges,1-5,2-6,4.036697247706423,3.853211009174312,3.9908256880733943,3.302752293577982,5.73394495412844,5.642201834862385,4.862385321100917,4.472477064220183,4.4395,4.4395,0.7113261122851349,1.0321100917431185
6,2026-03-29,49,50,AC,near,cross_edges,2-6,1-5,4.678899082568807,4.862385321100918,5.229357798165138,5.5045871559633035,3.9908256880733943,3.715596330275229,4.610091743119266,4.610091743119266,4.4395,4.4395,0.485946412207574,0.26150812502273835
6,2026-03-29,14,15,AC,near,same_edges,5-6,1-2,4.954128440366973,3.9908256880733943,6.14697758696038,2.7594957737949013,2.7522935779816518,6.284403669724771,4.449635582471016,4.521949721759836,4.4395,4.4395,0.6827525685175825,0.7325338100233918
6,2026-03-29,39,40,AC,near,same_edges,5-6,1-2,4.3577981651376145,4.4036697247706424,6.376146788990825,2.4770642201834865,2.7522935779816518,6.422018348623854,4.564220183486238,4.44954128440367,4.4395,4.4395,0.08921321899187344,0.2114574416810296
6,2026-03-29,18,19,BC,unknown,cross_edges,4-6,3-5,7.660550458715596,4.954128440366973,8.440366972477065,4.81651376146789,5.412844036697248,5.18348623853211,6.926605504587156,5.0,6.949,5.111999999999999,0.7288535412820187,0.7353770432055678
6,2026-03-29,43,44,BC,unknown,cross_edges,4-6,3-5,7.068166832318622,5.176382450792047,8.256880733944955,4.770642201834863,5.5045871559633035,5.825688073394495,6.880733944954129,5.29816513761468,6.949,5.111999999999999,0.1354467935938129,0.2235220572461027
6,2026-03-29,9,10,BC,unknown,same_edges,3-4,5-6,7.247706422018348,5.458715596330276,7.752293577981652,7.568807339449542,6.605504587155964,2.4770642201834865,7.178899082568808,5.022935779816514,6.949,5.111999999999999,0.45764312656661066,0.4411785335245721
6,2026-03-29,53,54,BC,unknown,same_edges,3-4,5-6,7.018348623853211,5.275229357798165,7.339449541284404,7.431192660550458,6.467889908256881,2.5688073394495414,6.9036697247706424,5.0,6.949,5.111999999999999,0.1773500912814419,0.29816513761467867
8,2026-03-29,8,9,AB,far,cross_edges,1-4,2-3,5.454545454545454,6.8449197860962565,5.454545454545454,5.989304812834224,4.973262032085561,6.149732620320856,5.213903743315507,6.06951871657754,5.112,6.949,0.35800849061998613,0.811883767416523
8,2026-03-29,37,38,AB,far,cross_edges,2-3,1-4,5.347593582887701,6.8449197860962565,4.973262032085561,6.363636363636363,5.336560641922756,5.887364476108152,5.154911337004158,6.125500419872258,5.112,6.949,0.25755975466697584,0.7447755852448885
8,2026-03-29,29,30,AB,far,same_edges,1-2,3-4,5.294117647058823,8.181818181818182,2.5668449197860967,6.2032085561497325,6.310160427807486,6.310160427807486,4.438502673796791,6.256684491978609,5.112,6.949,1.2461972182570982,2.106707551186333
8,2026-03-29,44,45,AB,far,same_edges,1-2,3-4,5.187165775401069,6.8449197860962565,2.4598930481283423,6.256684491978609,8.128342245989305,8.128342245989305,5.294117647058824,7.192513368983957,5.112,6.949,0.12838451899622824,0.36367568205175027
8,2026-03-29,24,25,AC,near,cross_edges,2-6,1-5,4.491978609625669,4.491978609625669,5.561497326203209,5.561497326203209,3.5294117647058827,3.5294117647058827,4.545454545454546,4.545454545454546,4.4395,4.4395,0.07421596146710416,0.07562639370979148
8,2026-03-29,31,32,AC,near,cross_edges,1-5,2-6,4.385026737967914,4.331550802139038,3.689839572192513,3.5828877005347595,5.775401069518717,5.775401069518717,4.732620320855615,4.6791443850267385,4.4395,4.4395,0.12091470380082547,0.49157155911364275
8,2026-03-29,2,3,AC,near,same_edges,5-6,1-2,4.438502673796791,4.438502673796791,6.473386949531709,2.7271994403612076,2.5133689839572195,6.256684491978609,4.493377966744465,4.491941966169908,4.4395,4.4395,0.0014104322426873276,0.07659670845037939
8,2026-03-29,54,55,AC,near,same_edges,5-6,1-2,4.598930481283422,4.545454545454545,6.256684491978609,2.5668449197860967,2.620320855614973,6.256684491978609,4.4385026737967905,4.411764705882353,4.4395,4.4395,0.1914273858797194,0.20883020523814583
8,2026-03-29,14,15,BC,unknown,cross_edges,4-6,3-5,7.005347593582888,5.240641711229946,8.128342245989305,5.187165775401069,6.2032085561497325,5.561497326203209,7.165775401069519,5.374331550802139,6.949,5.111999999999999,0.14044123742957912,0.20883020523814572
8,2026-03-29,17,18,BC,unknown,cross_edges,4-6,3-5,7.005347593582888,5.347593582887701,8.502673796791443,4.973262032085563,5.935828877005348,5.401069518716578,7.219251336898395,5.18716577540107,6.949,5.111999999999999,0.2422382868178492,0.26737967914438415
8,2026-03-29,46,47,BC,unknown,same_edges,5-6,3-4,7.112299465240641,5.187165775401069,6.256684491978609,2.620320855614974,8.074866310160427,8.02139037433155,7.165775401069518,5.320855614973262,6.949,5.111999999999999,0.17976820947966124,0.14398836382712676
8,2026-03-29,58,59,BC,unknown,same_edges,5-6,3-4,7.112299465240641,5.240641711229946,6.577540106951871,2.8342245989304815,7.86096256684492,7.807486631016043,7.219251336898395,5.320855614973262,6.949,5.111999999999999,0.20788315279514205,0.13368983957219333
9,2025-11-25,9,10,AB,near,cross_edges,1-4,2-3,5.6499999999999995,5.85,5.6499999999999995,5.5,5.25,7.25,5.449999999999999,6.375,5.112,6.949,1.2236196304407672,0.5618051263561062
9,2025-11-25,42,43,AB,near,cross_edges,2-3,1-4,5.4134976249348865,6.322751631047092,4.95,7.55,5.05,4.95,5.0,6.25,5.112,6.949,0.6950452053338363,0.4198488842986299
9,2025-11-25,26,27,AB,near,same_edges,3-4,1-2,4.95,6.949999999999999,7.6,7.800000000000001,2.6,6.15,5.1,6.9750000000000005,5.112,6.949,0.16200308639035238,0.15206906325745517
9,2025-11-25,51,52,AB,near,same_edges,1-2,3-4,5.1,6.7,2.9000000000000004,6.4,7.55,7.800000000000001,5.225,7.1000000000000005,5.112,6.949,0.24928898892650644,0.41907636535600556
9,2025-11-25,4,5,AC,far,cross_edges,1-5,2-6,4.65,4.75,3.599862953475457,3.6052335956242985,5.2,5.3500000000000005,4.399931476737729,4.47761679781215,4.4395,4.4395,0.375127311722301,0.36976597350307994
9,2025-11-25,34,35,AC,far,cross_edges,2-6,1-5,5.149862953475457,5.344766404375706,5.699999999999999,5.3500000000000005,3.85,3.75,4.7749999999999995,4.550000000000001,4.4395,4.4395,1.1507053439354904,0.8787353819055147
9,2025-11-25,18,19,AC,far,same_edges,5-6,1-2,4.699999999999999,4.75,6.25,3.15,2.496352549156242,6.192658477444272,4.373176274578121,4.671329238722136,4.4395,4.4395,0.40530297309543617,0.3361589448143153
9,2025-11-25,37,38,AC,far,same_edges,1-2,5-6,5.2,5.300000000000001,3.0000000000000004,5.6499999999999995,6.6000000000000005,2.6500000000000004,4.800000000000001,4.15,4.4395,4.4395,1.148399103099616,1.2175795661885922
9,2025-11-25,15,16,BC,unknown,cross_edges,3-5,4-6,6.5,6.550000000000001,5.8,6.35,7.65,5.05,6.725,5.699999999999999,6.949,5.111999999999999,1.5064677228536973,0.8792752697534499
9,2025-11-25,22,23,BC,unknown,cross_edges,3-5,4-6,6.3,5.1,6.15,6.3,8.299862953475458,4.905233595624297,7.224931476737729,5.602616797812148,6.949,5.111999999999999,0.6491109304271497,1.0526736826306502
9,2025-11-25,56,57,BC,unknown,cross_edges,3-5,4-6,7.3,5.45,5.699999999999999,5.3500000000000005,8.058755352837531,4.805040653093781,6.879377676418765,5.077520326546891,6.949,5.111999999999999,0.4872832851637748,0.5618400539571844
9,2025-11-25,12,13,BC,unknown,same_edges,5-6,3-4,6.550000000000001,5.2,6.550000000000001,2.7,7.25,7.1499999999999995,6.9,4.925,6.949,5.111999999999999,0.40858903558465626,0.4451123453691213
9,2025-11-25,47,48,BC,unknown,same_edges,5-6,3-4,7.442441887678112,4.83959356742539,6.1,2.7,7.646212749899533,7.74996724050581,6.873106374949766,5.224983620252905,6.949,5.111999999999999,0.5636400988426602,0.6875088500317963
10,2026-03-29,37,38,AB,far,cross_edges,1-4,2-3,5.040214477211796,7.07774798927614,5.415549597855228,5.898123324396782,4.396782841823057,8.09651474530831,4.906166219839142,6.997319034852547,5.112,6.949,0.14740829700062605,0.1563257880655576
10,2026-03-29,53,54,AB,far,cross_edges,2-3,1-4,4.986595174262734,7.024128686327078,4.396782841823057,8.150134048257373,6.648793565683646,3.4316353887399464,5.522788203753351,5.79088471849866,5.112,6.949,0.1461871739497911,1.3447652765666975
10,2026-03-29,24,25,AB,far,same_edges,1-2,3-4,4.986595174262734,6.970509383378016,2.520107238605898,6.380697050938338,7.238605898123325,4.432367771712935e-16,4.879356568364612,3.190348525469169,5.112,6.949,0.12723609508113834,3.7816816669652575
10,2026-03-29,33,34,AB,far,same_edges,3-4,1-2,4.986595174262734,6.7560321715817695,7.2922252010723865,7.774798927613941,2.7882037533512065,6.273458445040214,5.040214477211796,7.024128686327078,5.112,6.949,0.23013681392302618,0.27340587204250877
10,2026-03-29,12,13,AC,near,cross_edges,1-5,2-6,4.450402144772118,4.289544235924933,3.4671783254017075,3.258762592294854,5.361930294906166,5.361930294906166,4.414554310153937,4.31034644360051,4.4395,4.4395,0.15035154784693527,0.04144633989860025
10,2026-03-29,28,29,AC,near,cross_edges,2-6,1-5,4.50402144772118,4.50402144772118,5.361930294906166,5.361930294906166,3.2171581769436997,3.0563002680965146,4.289544235924933,4.20911528150134,4.4395,4.4395,0.09124710643123965,0.3646506838803074
10,2026-03-29,48,49,AC,near,same_edges,1-2,5-6,4.369624178644659,4.33824015166522,2.6273458445040214,6.327077747989276,6.380697050938338,2.305630026809652,4.504021447721179,4.316353887399464,4.4395,4.4395,0.12302921317665222,0.13616767053429774
10,2026-03-29,58,59,AC,near,same_edges,1-2,5-6,4.450402144772118,4.396782841823057,2.5737265415549597,6.434316353887399,6.595174262734584,2.7882037533512065,4.584450402144772,4.6112600536193025,4.4395,4.4395,0.044086419262015564,0.25292174616773655
10,2026-03-29,6,7,BC,unknown,cross_edges,3-5,4-6,6.9133749491797,5.3953745347159945,5.683646112600536,5.630026809651475,8.09651474530831,5.040214477211796,6.890080428954423,5.335120643431635,6.949,5.111999999999999,0.28560509654320904,0.06460004711633931
10,2026-03-29,16,17,BC,unknown,cross_edges,4-6,3-5,6.916890080428955,5.576407506702413,8.09651474530831,5.040214477211796,5.522788203753351,5.522788203753351,6.809651474530831,5.281501340482574,6.949,5.111999999999999,0.46551625021733833,0.31379892522036507
10,2026-03-29,4,5,BC,unknown,same_edges,3-4,5-6,6.863270777479893,5.522788203753351,7.07774798927614,7.882037533512064,6.058981233243967,2.4664879356568368,6.568364611260053,5.174262734584451,6.949,5.111999999999999,0.41963847289876505,0.45655191329561423
10,2026-03-29,44,45,BC,unknown,same_edges,3-4,5-6,6.702412868632708,5.093833780160858,6.863270777479893,7.6675603217158175,6.595174262734584,2.5737265415549606,6.729222520107239,5.120643431635389,6.949,5.111999999999999,0.2472553839640184,0.037914572717778004
11,2025-11-25,9,10,AB,near,cross_edges,2-3,1-4,5.0,6.550000000000001,4.699999999999999,8.85,5.8,5.699999999999999,5.25,7.2749999999999995,5.112,6.949,0.41442128323723837,0.7668930825088972
11,2025-11-25,59,60,AB,near,cross_edges,2-3,1-4,5.198246317958908,7.091513814901286,4.3500000000000005,7.9,5.75,6.0,5.050000000000001,6.95,5.112,6.949,0.16657915475589113,0.20494665304973603
11,2025-11-25,27,28,AB,near,same_edges,3-4,1-2,5.300000000000001,7.35,7.5478757788695905,7.42644881969067,2.75,5.75,5.148937889434795,6.588224409845335,5.112,6.949,0.4428826029547786,0.7766091751994063
11,2025-11-25,46,47,AB,near,same_edges,3-4,1-2,4.757850393436439,5.149794430213186,7.562172318749951,7.5813577606601665,2.8000000000000003,3.65,5.181086159374976,5.6156788803300834,5.112,6.949,1.83372915834946,0.6294257973981554
11,2025-11-25,13,14,AC,far,cross_edges,2-6,1-5,4.097367918784671,4.01644094964078,4.860467191248588,4.799725906950914,3.6792318195897415,3.6613938977406093,4.269849505419165,4.230559902345762,4.4395,4.4395,0.5440894421761717,0.27494876547355335
11,2025-11-25,53,54,AC,far,cross_edges,1-5,2-6,4.3,4.3,5.8999999999999995,2.9499999999999997,4.9,4.85,5.4,3.8999999999999995,4.4395,4.4395,0.1972827919510467,1.1704699910719631
11,2025-11-25,4,5,AC,far,same_edges,1-2,5-6,4.149794430213186,4.057850393436441,2.4549731120808396,6.467487277129412,6.220006930866134,2.5303865447642937,4.337490021473487,4.498936910946853,4.4395,4.4395,0.4791510611024687,0.47936098183729625
11,2025-11-25,19,20,AC,far,same_edges,5-6,1-2,4.75,4.699999999999999,6.224608985412426,2.7025038012805345,2.75,6.05,4.487304492706214,4.376251900640267,4.4395,4.4395,0.40530297309543617,0.41691937037199267
11,2025-11-25,24,25,BC,unknown,cross_edges,4-6,3-5,6.586846157781566,5.078069947244822,8.35,5.1,5.550000000000001,5.85,6.95,5.475,6.949,5.111999999999999,0.36373981623344914,0.5379908734339638
11,2025-11-25,43,44,BC,unknown,cross_edges,4-6,3-5,5.246505313624156,5.266543311580499,7.8295744359010975,4.424477886801346,5.499131755405702,5.190353412806511,6.6643530956534,4.807415649803929,6.949,5.111999999999999,1.7094946014223766,1.490332359849194
11,2025-11-25,50,51,BC,unknown,cross_edges,4-6,3-5,3.3677786976552176e-16,5.5,7.7,4.35,5.5,5.75,6.6,5.05,6.949,5.111999999999999,6.959823632822889,6.6153231213599835
11,2025-11-25,33,34,BC,unknown,same_edges,5-6,3-4,7.1,5.3500000000000005,5.949999999999999,2.55,7.6,7.65,6.7749999999999995,5.1,6.949,5.111999999999999,0.2818598942737341,0.41003048667141884
11,2025-11-25,36,37,BC,unknown,same_edges,5-6,3-4,6.6000000000000005,5.0,6.05,2.8000000000000003,7.5668222369501486,7.621885550118059,6.808411118475075,5.21094277505903,6.949,5.111999999999999,0.3665310355208674,0.29653338539469
12,2026-04-12,6,7,AB,far,cross_edges,1-4,2-3,5.303514376996805,7.156549520766773,6.453674121405751,5.814696485623003,4.856230031948882,8.242811501597444,5.654952076677317,7.0287539936102235,5.112,6.949,0.2824084987513505,0.3739520738249084
12,2026-04-12,27,28,AB,far,cross_edges,1-4,2-3,5.623003194888179,6.70926517571885,5.7507987220447285,6.006389776357828,4.728434504792332,7.859424920127795,5.23961661341853,6.932907348242812,5.112,6.949,0.5644440195086133,0.4438480507811442
12,2026-04-12,17,18,AB,far,same_edges,1-2,3-4,5.175718849840255,6.5814696485623,2.8115015974440896,5.111821086261981,8.05111821086262,7.220447284345049,5.4313099041533555,6.166134185303514,5.112,6.949,0.3730129368438634,0.4876785150950086
12,2026-04-12,57,58,AB,far,same_edges,1-2,3-4,5.7507987220447285,6.453674121405751,2.5559105431309903,6.325878594249201,7.603833865814696,7.0287539936102235,5.079872204472843,6.677316293929712,5.112,6.949,0.8083387490966538,0.7072186460440468
12,2026-04-12,11,12,AC,near,cross_edges,1-5,2-6,4.4089456869009584,3.8977635782747604,3.3865814696485623,4.02555910543131,5.431309904153354,5.047923322683706,4.4089456869009584,4.536741214057509,4.4395,4.4395,0.5425973798984112,0.6389776357827484
12,2026-04-12,39,40,AC,near,cross_edges,2-6,1-5,4.21390824560748,2.9392095549363946,5.021858774098268,6.191002879575478,3.494312093453185,3.002669470193447,4.258085433775727,4.596836174884462,4.4395,4.4395,1.5171562408661297,1.6582151956591484
12,2026-04-12,42,43,AC,near,same_edges,5-6,1-2,3.6421725239616616,3.3865814696485623,6.325878594249201,1.7891373801916932,2.428115015974441,6.198083067092651,4.376996805111821,3.993610223642172,4.4395,4.4395,1.3207454469363495,0.9531267661454498
12,2026-04-12,51,52,AC,near,same_edges,1-2,5-6,3.322683706070287,3.706070287539936,3.0670926517571884,5.878594249201278,6.134185303514377,1.2779552715654958,4.600638977635782,3.578274760383387,4.4395,4.4395,1.3361129359100414,1.2843291528588994
12,2026-04-12,21,22,BC,unknown,cross_edges,4-6,3-5,7.539936102236422,4.600638977635782,8.434504792332268,4.281150159744409,5.623003194888179,4.4089456869009584,7.0287539936102235,4.345047923322683,6.949,5.111999999999999,0.7814701351425737,0.5715189718849305
12,2026-04-12,46,47,BC,unknown,cross_edges,3-5,4-6,6.530948487218643,5.111470807605004,5.686900958466453,4.536741214057508,7.667731629392971,3.5782747603833864,6.677316293929712,4.057507987220447,6.949,5.111999999999999,0.4180518477215142,1.0640776107006382
12,2026-04-12,4,5,BC,unknown,same_edges,3-4,5-6,7.156549520766773,5.942492012779552,7.859424920127795,8.881789137380192,6.261980830670927,2.0447284345047922,7.060702875399361,5.463258785942492,6.949,5.111999999999999,0.8560337533422092,0.4887239150408413
12,2026-04-12,34,35,BC,unknown,same_edges,5-6,3-4,7.0287539936102235,4.664536741214057,6.453674121405751,1.9169329073482428,7.795527156549521,7.156549520766773,7.124600638977636,4.536741214057508,6.949,5.111999999999999,0.4545152004720133,0.15974440894568714
13,2025-12-06,6,7,AB,near,cross_edges,1-4,2-3,5.1,7.25,5.5,5.8,4.800000000000001,8.100000000000001,5.15,6.950000000000001,5.112,6.949,0.3012391076869006,0.30413812651491007
13,2025-12-06,31,32,AB,near,cross_edges,1-4,2-3,4.25,7.25,5.25,5.4,3.9500000000000006,7.9,4.6000000000000005,6.65,5.112,6.949,0.913041620080925,0.6946221994724903
13,2025-12-06,48,49,AB,near,same_edges,1-2,3-4,5.15,6.7,2.3888228567653784,6.29488887394336,7.6,7.3,4.994411428382689,6.79744443697168,5.112,6.949,0.25188290930509727,0.18358437274082706
13,2025-12-06,52,53,AB,near,same_edges,1-2,3-4,5.6000000000000005,6.75,2.5500000000000007,6.0,7.55,7.35,5.050000000000001,6.675,5.112,6.949,0.5270151800470271,0.5550900827793628
13,2025-12-06,37,38,AC,far,cross_edges,2-6,1-5,4.1,3.9000000000000004,5.0,5.2,3.55,3.3000000000000003,4.275,4.25,4.4395,4.4395,0.6374327415500395,0.3913118960624632
13,2025-12-06,59,60,AC,far,cross_edges,1-5,2-6,4.699999999999999,4.3,3.1921782767479883,3.100615582970243,4.95,5.45,4.071089138373994,4.275307791485122,4.4395,4.4395,0.2955004230115411,0.6293954059512247
13,2025-12-06,1,2,AC,far,same_edges,1-2,5-6,4.9,5.1,2.95,6.7,6.8999999999999995,2.4,4.925,4.55,4.4395,4.4395,0.8051835194537953,0.5505678886386308
13,2025-12-06,42,43,AC,far,same_edges,1-2,5-6,5.300000000000001,5.0,2.3000000000000003,6.3,6.15,2.45,4.2250000000000005,4.375,4.4395,4.4395,1.0269471748829158,1.243483011544589
13,2025-12-06,18,19,BC,unknown,cross_edges,4-6,3-5,6.799931476737728,3.9973832021878533,8.25,4.1,5.5,5.2,6.875,4.65,6.949,5.111999999999999,1.1245408087715612,0.656920062086217
13,2025-12-06,28,29,BC,unknown,cross_edges,4-6,3-5,7.1,4.25,8.2,4.2,5.59993147673773,5.3026167978121475,6.899965738368865,4.751308398906074,6.949,5.111999999999999,0.8751257052561069,0.5397442140867145
13,2025-12-06,13,14,BC,unknown,same_edges,5-6,3-4,7.0,5.0,6.550000000000001,2.3000000000000003,7.65,7.65,7.1000000000000005,4.9750000000000005,6.949,5.111999999999999,0.1230650234632076,0.10307764064044189
13,2025-12-06,24,25,BC,unknown,same_edges,3-4,5-6,7.45,4.9,7.75,7.45,6.550000000000001,2.25,7.15,4.85,6.949,5.111999999999999,0.5440082719959319,0.30413812651491096
14,2026-04-12,1,2,AB,far,cross_edges,1-4,2-3,5.239616613418531,6.964856230031949,5.047923322683706,5.942492012779552,5.49520766773163,8.05111821086262,5.271565495207668,6.996805111821086,5.112,6.949,0.128597900648653,0.04518254192885189
14,2026-04-12,26,27,AB,far,cross_edges,1-4,2-3,4.728434504792332,7.92332268370607,6.964856230031949,6.325878594249201,5.303514376996805,8.242811501597444,6.134185303514377,7.284345047923322,5.112,6.949,1.047104188272639,1.5441592298523412
14,2026-04-12,8,9,AB,far,same_edges,3-4,1-2,7.220447284345049,7.667731629392971,7.92332268370607,6.517571884984026,2.4920127795527156,6.261980830670927,5.2076677316293924,6.389776357827476,5.112,6.949,2.227582794410095,2.384208716524683
14,2026-04-12,17,18,AB,far,same_edges,3-4,1-2,4.856230031948882,6.517571884984026,7.348242811501597,6.3897763578274756,2.428115015974441,6.0702875399361025,4.888178913738019,6.2300319488817895,5.112,6.949,0.5015461045438461,0.28930942933346376
14,2026-04-12,39,40,AC,near,cross_edges,1-5,2-6,5.49520766773163,3.5782747603833864,3.450479233226837,2.6198083067092655,4.664536741214057,4.472843450479233,4.057507987220447,3.5463258785942493,4.4395,4.4395,1.3624344362427319,1.4380546242718089
14,2026-04-12,41,42,AC,near,cross_edges,1-5,2-6,5.175718849840255,4.728434504792332,3.1309904153354635,2.8753993610223643,6.261980830670927,4.664536741214057,4.696485623003195,3.7699680511182105,4.4395,4.4395,0.7908864285848497,1.0715980722842444
14,2026-04-12,51,52,AC,near,same_edges,5-6,1-2,5.559105431309904,7.092651757188499,7.412140575079872,2.3642172523961666,3.450479233226837,6.900958466453674,5.431309904153355,4.632587859424921,4.4395,4.4395,2.879710153555572,2.463381025712618
14,2026-04-12,59,60,AC,near,same_edges,5-6,1-2,6.900958466453674,5.814696485623003,6.3897763578274756,2.68370607028754,2.428115015974441,6.198083067092651,4.4089456869009584,4.440894568690096,4.4395,4.4395,2.8195643557376613,2.845603521297825
14,2026-04-12,22,23,BC,unknown,cross_edges,4-6,3-5,7.476038338658148,6.8370607028754,8.562300319488818,5.175718849840255,5.878594249201278,5.047923322683706,7.220447284345048,5.111821086261981,6.949,5.111999999999999,1.8037748859046994,1.7440695289400878
14,2026-04-12,46,47,BC,unknown,cross_edges,4-6,3-5,8.178913738019169,5.942492012779552,8.562300319488818,5.047923322683706,6.325878594249201,4.664536741214057,7.44408945686901,4.856230031948882,6.949,5.111999999999999,1.4840501292944652,1.3114617093785161
